date,rent,beds,baths,type,rent_category,frequency,furnishing,age_of_listing_in_days,location,city
1/3/2023,17000,0,1,Apartment,Low,Yearly,Unfurnished,474,Al Rashidiya,Ajman
1/10/2023,40000,1,1,Apartment,Low,Yearly,Unfurnished,467,Mohammed Bin Zayed City,Abu Dhabi
1/10/2023,40000,0,1,Apartment,Low,Yearly,Unfurnished,467,Al Muroor,Abu Dhabi
1/10/2023,50000,1,1,Apartment,Low,Yearly,Unfurnished,467,Al Mushrif,Abu Dhabi
1/10/2023,45000,1,1,Apartment,Low,Yearly,Unfurnished,467,Khalifa City,Abu Dhabi
1/10/2023,38000,0,1,Apartment,Low,Yearly,Unfurnished,467,Al Muroor,Abu Dhabi
1/10/2023,55000,1,1,Apartment,Low,Yearly,Unfurnished,467,Airport Street,Abu Dhabi
1/10/2023,80000,3,3,Apartment,Medium,Yearly,Unfurnished,467,Al Muroor,Abu Dhabi
1/10/2023,25000,0,1,Apartment,Low,Yearly,Unfurnished,467,Khalifa City,Abu Dhabi
1/10/2023,24000,0,1,Apartment,Low,Yearly,Unfurnished,467,Mohammed Bin Zayed City,Abu Dhabi
1/10/2023,47000,2,1,Apartment,Low,Yearly,Unfurnished,467,Mohammed Bin Zayed City,Abu Dhabi
1/10/2023,45000,1,1,Apartment,Low,Yearly,Unfurnished,467,Al Mushrif,Abu Dhabi
1/10/2023,23000,0,1,Apartment,Low,Yearly,Unfurnished,467,Khalifa City,Abu Dhabi
1/10/2023,50000,0,1,Apartment,Low,Yearly,Furnished,467,Yas Island,Abu Dhabi
1/10/2023,26000,0,1,Apartment,Low,Yearly,Unfurnished,467,Khalifa City,Abu Dhabi
1/10/2023,45000,2,1,Apartment,Low,Yearly,Unfurnished,467,Mohammed Bin Zayed City,Abu Dhabi
1/10/2023,26000,0,1,Apartment,Low,Yearly,Unfurnished,467,Khalifa City,Abu Dhabi
1/10/2023,28000,0,1,Apartment,Low,Yearly,Unfurnished,467,Khalifa City,Abu Dhabi
1/10/2023,22000,1,1,Apartment,Low,Yearly,Unfurnished,467,Al Rashidiya,Ajman
